filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],ePr [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,Eff_cor,Inst_cor,Off_cor
fb_ALGb110151 ~ ALGb110154.98943.fits,98943,SCIENCE,2023-02-11,23:30,2459987.4794509,V_Bes 530_80,42.44,1.59,1.42,1.41,0.72,,-3.8,14.59,-0.003,0.0076,0.0006,0.0076,0.0156,0.0072,0.0006,0.0072,50.51,1.14,9.2,5.0,3.66,2.95,0.72,0.06,144.32,476.5,0.14,1.09,120.0,,SCIENCE,1.0,1.0,1.0
fb_ALGb110155 ~ ALGb110158.98943.fits,98943,SCIENCE,2023-02-11,23:38,2459987.485379502,V_Bes 530_80,42.45,2.14,2.01,1.98,0.74,,-5.06,10.47,-0.0032,0.0075,0.0006,0.0075,0.0212,0.0073,0.0006,0.0074,49.24,1.14,9.9,5.0,3.94,3.18,0.73,0.06,144.29,474.8,0.14,1.09,120.0,,SCIENCE,1.0,1.0,1.0
fb_ALGb110159 ~ ALGb110162.98943.fits,98943,SCIENCE,2023-02-11,23:47,2459987.4913542653,V_Bes 530_80,42.46,2.09,1.95,1.93,0.74,,-4.49,10.85,-0.0035,0.0071,0.0006,0.0071,0.0206,0.0074,0.0006,0.0074,49.79,1.14,9.5,5.0,3.78,3.04,0.74,0.06,144.28,485.2,0.14,1.09,120.0,,SCIENCE,1.0,1.0,1.0
Weighted_average,98943,SCIENCE,2023-02-11,23:30--23:47,2459987.485394889,V_Bes 530_80,42.45,1.94,1.89,1.87,0.43,0.43,-4.51,6.45,-0.0032,0.0043,0.0006,0.0043,0.0191,0.0042,0.0006,0.0043,49.81,1.1--1.1,,5.0,,,0.42,0.06,144.29,478.8,0.14,1.09,120.0,,SCIENCE,1.0,1.0,1.0
