filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],ePr [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,Eff_cor,Inst_cor,Off_cor
fb_ALGc160169 ~ ALGc160172.98943.fits,98943,SCIENCE,2023-03-16,20:24,2460020.3504461227,V_Bes 530_80,99.92,7.76,7.72,7.55,0.82,0.82,6.06,3.04,0.0439,0.0078,0.0006,0.0079,-0.0641,0.0083,0.0006,0.0083,-27.8,1.46,3.3,1.6,4.17,3.57,0.82,0.06,56.14,82.4,0.13,0.96,120.0,,SCIENCE,1.0,1.0,1.0
fb_ALGc160173 ~ ALGc160176.98943.fits,98943,SCIENCE,2023-03-16,20:33,2460020.3563765567,V_Bes 530_80,99.94,6.36,5.94,5.94,2.28,2.28,1.3,10.97,0.0268,0.006,0.0006,0.006,-0.0577,0.0249,0.0006,0.0249,-32.57,1.49,2.8,1.5,3.8,3.24,2.28,0.06,56.13,87.1,0.13,0.96,120.0,,SCIENCE,1.0,1.0,1.0
fb_ALGc160177 ~ ALGc160180.98943.fits,98943,SCIENCE,2023-03-16,20:41,2460020.362294294,V_Bes 530_80,99.95,4.74,4.58,4.49,1.22,1.22,-5.4,7.64,0.0094,0.0066,0.0006,0.0066,-0.0464,0.0124,0.0006,0.0124,-39.28,1.5250000000000001,3.5,1.7999999999999998,3.84,3.26,1.22,0.06,56.12,79.8,0.13,0.96,120.0,,SCIENCE,1.0,1.0,1.0
Weighted_average,98943,SCIENCE,2023-03-16,20:24--20:41,2460020.3563723243,V_Bes 530_80,99.94,6.36,6.33,6.22,0.63,0.63,-5.41,2.86,0.0249,0.0039,0.0006,0.0039,-0.0585,0.0067,0.0006,0.0067,-33.46,1.5--1.5,,1.633333333333333,,,0.63,0.06,56.13,83.1,0.13,0.96,120.0,,SCIENCE,1.0,1.0,1.0
