filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],ePr [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,Eff_cor,Inst_cor,Off_cor
fb_ALGc130164 ~ ALGc130167.98943.fits,98943,SCIENCE,2023-03-13,21:07,2460017.380515052,V_Bes 530_80,94.43,6.03,6.02,6.01,0.48,0.48,-0.48,2.28,0.034,0.003,0.0006,0.0031,-0.0499,0.0054,0.0006,0.0054,-27.85,1.5074999999999998,2.8,1.8,3.16,2.89,0.47,0.06,62.62,149.3,0.13,0.98,120.0,,SCIENCE,1.0,1.0,1.0
Weighted_average,98943,SCIENCE,2023-03-13,21:07--21:07,2460017.380515052,V_Bes 530_80,94.43,6.03,6.02,6.01,0.48,0.48,-0.48,2.28,0.034,0.003,0.0006,0.0031,-0.0499,0.0054,0.0006,0.0054,-27.85,1.5--1.5,,1.8,,,0.47,0.06,62.62,149.3,0.13,0.98,120.0,,SCIENCE,1.0,1.0,1.0
