,filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME
0,cfb_HN0325993opt00 ~ 96.fits,2001cc21,OBJECT,2023-01-24,18:35:46,2459969.274837960,R,21.72,0.96,0.82,-0.69,0.51,-73.59,17.64,-0.0015,0.0048,0.0004,0.0048,0.0095,0.005,0.0005,0.0051,49.4,1.1350000000000000,23.5,0.5,0.05,212.99,0.17,1.14,60.0
1,cfb_HN0325997opt00 ~ 00.fits,2001cc21,OBJECT,2023-01-24,18:42:19,2459969.279392360,R,21.72,1.0,0.85,0.76,0.53,-12.99,17.74,-0.0077,0.0053,0.0004,0.0053,-0.0064,0.0052,0.0005,0.0052,-70.02,1.1475,23.9,0.52,0.04,212.97,0.17,1.14,60.0
2,cfb_HN0326001opt00 ~ 04.fits,2001cc21,OBJECT,2023-01-24,18:49:55,2459969.2846672500,R,21.72,0.57,0.23,0.1,0.52,-31.3,65.85,-0.0057,0.0052,0.0004,0.0052,-0.0003,0.005,0.0005,0.005,-88.35,1.1650000000000000,26.2,0.52,0.04,212.94,0.17,1.14,60.0
3,Weighted_average,2001cc21,OBJECT,2023-01-24,18:3--18:4,2459969.279632520,R,21.72,0.48,0.38,0.18,0.3,-31.32,22.11,-0.0047,0.0029,0.0004,0.003,0.0011,0.0029,0.0005,0.003,83.66,1.1--1.2,,0.29,0.04,212.97,0.17,1.14,60.0
