filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230209_806383 ~ 806386.fits,2001 CC21,Ast,2023-02-09,16:32,2459985.1894240400,V,38.73,2.99,2.77,2.1,1.14,20.38,11.77,-0.0287,0.0113,0.0002,0.0113,0.0085,0.0119,0.0002,0.0119,81.73,1.17,13.4,1.14,0.02,151.35,0.14,1.09,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230209_806387 ~ 806390.fits,2001 CC21,Ast,2023-02-09,16:50,2459985.2014082700,V,38.75,1.17,0.68,0.67,0.96,-2.75,40.6,-0.0054,0.0095,0.0002,0.0095,0.0105,0.0096,0.0002,0.0096,58.56,1.2025,11.5,0.96,0.02,151.31,0.14,1.09,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
Weighted_average,2001 CC21,Ast,2023-02-09,16:32--16:50,2459985.1954161600,V,38.74,1.78,1.62,1.62,0.73,-2.77,12.94,-0.015,0.0073,0.0002,0.0073,0.0097,0.0075,0.0002,0.0075,73.54,1.2--1.2,,0.73,0.02,151.33,0.14,1.09,180.0,,Ast,,,,
