filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],ePr [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type
fb_ALGc160169 ~ ALGc160172.98943.fits,98943,SCIENCE,2023-03-16,20:24,2460020.3504461200,V_Bes 530_80,99.92,7.76,7.72,7.55,0.82,0.82,6.06,3.04,0.0439,0.0078,0.0006,0.0079,-0.0641,0.0083,0.0006,0.0083,-27.8,1.46,3.3,0.82,0.06,56.14,0.13,0.96,120.0,,SCIENCE
fb_ALGc160173 ~ ALGc160176.98943.fits,98943,SCIENCE,2023-03-16,20:33,2460020.3563765600,V_Bes 530_80,99.94,6.36,5.94,5.94,2.28,2.28,1.3,10.97,0.0268,0.006,0.0006,0.006,-0.0577,0.0249,0.0006,0.0249,-32.57,1.49,2.8,2.28,0.06,56.13,0.13,0.96,120.0,,SCIENCE
fb_ALGc160177 ~ ALGc160180.98943.fits,98943,SCIENCE,2023-03-16,20:41,2460020.362294290,V_Bes 530_80,99.95,4.74,4.58,4.49,1.22,1.22,-5.4,7.64,0.0094,0.0066,0.0006,0.0066,-0.0464,0.0124,0.0006,0.0124,-39.28,1.5250000000000000,3.5,1.22,0.06,56.12,0.13,0.96,120.0,,SCIENCE
Weighted_average,98943,SCIENCE,2023-03-16,20:24--20:41,2460020.3563723200,V_Bes 530_80,99.94,6.36,6.33,6.22,0.63,0.63,-5.41,2.86,0.0249,0.0039,0.0006,0.0039,-0.0585,0.0067,0.0006,0.0067,-33.46,1.5--1.5,,0.63,0.06,56.13,0.13,0.96,120.0,,SCIENCE
