filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230129_806138 ~ 806141.fits,2001 CC21,Ast,2023-01-29,14:35,2459974.1080311100,Rc,24.49,0.46,0.12,-0.04,0.45,125.06,103.0,-0.0002,0.0045,0.0001,0.0045,0.0046,0.0045,0.0001,0.0045,46.28,1.0025,16.7,0.45,0.01,191.22,0.16,1.13,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230129_806142 ~ 806145.fits,2001 CC21,Ast,2023-01-29,14:44,2459974.1143048300,Rc,24.5,0.43,0.23,0.17,0.36,-21.96,43.94,-0.004,0.0036,0.0001,0.0036,0.0016,0.0036,0.0001,0.0036,79.23,1.0,9.6,0.36,0.01,191.19,0.16,1.13,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230129_806146 ~ 806149.fits,2001 CC21,Ast,2023-01-29,14:54,2459974.1211344000,Rc,24.5,0.38,0.0,0.0,0.45,-37.72,51.96,-0.0023,0.0045,0.0001,0.0045,0.0031,0.0045,0.0001,0.0045,63.44,1.0,14.2,0.45,0.01,191.16,0.16,1.13,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230129_806150 ~ 806153.fits,2001 CC21,Ast,2023-01-29,15:05,2459974.128807870,Rc,24.51,1.14,1.06,0.58,0.42,28.46,11.37,-0.0021,0.0042,0.0001,0.0042,-0.0112,0.0042,0.0001,0.0042,-50.42,1.0,10.1,0.42,0.01,191.13,0.16,1.13,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230129_806154 ~ 806157.fits,2001 CC21,Ast,2023-01-29,15:14,2459974.134884840,Rc,24.51,0.91,0.8,0.76,0.44,-8.03,15.91,-0.0091,0.0044,0.0001,0.0044,-0.001,0.0045,0.0001,0.0045,-86.93,1.0,8.4,0.44,0.01,191.1,0.16,1.13,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
Weighted_average,2001 CC21,Ast,2023-01-29,14:35--15:14,2459974.12143261,Rc,24.5,0.36,0.31,0.3,0.19,-8.09,17.28,-0.0036,0.0019,0.0001,0.0019,-0.0006,0.0019,0.0001,0.0019,-84.99,1.0--1.0,,0.19,0.01,191.16,0.16,1.13,120.0,,Ast,,,,
