filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230304_806979 ~ 806982.fits,2001 CC21,Ast,2023-03-04,14:15,2460008.0940052100,Rc,77.95,6.31,6.21,5.41,1.11,14.72,5.12,0.0597,0.011,0.0001,0.011,0.0204,0.0114,0.0001,0.0114,9.43,1.545,7.4,1.11,0.01,84.71,0.13,1.01,180.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230304_806987 ~ 806990.fits,2001 CC21,Ast,2023-03-04,14:41,2460008.1120272,Rc,77.98,1.81,0.51,0.51,1.74,3.12,96.77,0.018,0.0173,0.0001,0.0173,-0.0014,0.0194,0.0001,0.0194,-2.22,1.6375,7.3,1.74,0.01,84.66,0.13,1.01,180.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230304_806995 ~ 806998.fits,2001 CC21,Ast,2023-03-04,15:07,2460008.1301063400,Rc,78.02,4.56,2.1,1.71,4.05,17.67,55.31,0.0415,0.042,0.0001,0.042,0.019,0.0323,0.0001,0.0323,12.28,1.7425,7.3,4.05,0.01,84.62,0.13,1.01,180.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230304_806999 ~ 807002.fits,2001 CC21,Ast,2023-03-04,15:20,2460008.1392803800,Rc,78.03,2.36,0.0,0.0,3.12,-2.41,51.96,0.0228,0.0308,0.0001,0.0308,-0.0064,0.035,0.0001,0.035,-7.82,1.8050000000000000,9.0,3.12,0.01,84.59,0.13,1.01,180.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
Weighted_average,2001 CC21,Ast,2023-03-04,14:15--15:20,2460008.1188547800,Rc,78.0,4.74,4.66,4.64,0.88,-2.46,5.38,0.0454,0.0087,0.0001,0.0087,0.0137,0.0091,0.0001,0.0091,8.39,1.5--1.8,,0.88,0.01,84.65,0.13,1.01,180.0,,Ast,,,,
