filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],ePr [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type
fb_ALGc050088 ~ ALGc050091.98943.fits,98943,SCIENCE,2023-03-05,20:35,2460009.357828240,V_Bes 530_80,80.15,5.72,5.69,5.69,0.54,0.54,0.78,2.73,0.0551,0.0053,0.0006,0.0054,-0.0152,0.006,0.0006,0.006,-7.7,1.2525,5.2,0.54,0.06,81.52,0.13,1.01,120.0,,SCIENCE
fb_ALGc050092 ~ ALGc050095.98943.fits,98943,SCIENCE,2023-03-05,20:43,2460009.3637445600,V_Bes 530_80,80.16,5.7,5.67,5.67,0.56,0.56,0.8,2.82,0.0549,0.0053,0.0006,0.0053,-0.0151,0.0082,0.0006,0.0082,-7.7,1.2625000000000000,6.2,0.55,0.06,81.5,0.13,1.01,120.0,,SCIENCE
Weighted_average,98943,SCIENCE,2023-03-05,20:35--20:43,2460009.360786400,V_Bes 530_80,80.15,5.71,5.69,5.69,0.39,0.39,0.79,1.96,0.055,0.0038,0.0006,0.0038,-0.0152,0.0048,0.0006,0.0049,-7.7,1.3--1.3,,0.38,0.06,81.51,0.13,1.01,120.0,,SCIENCE
