filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230209_806335 ~ 806338.fits,2001 CC21,Ast,2023-02-09,13:39,2459985.0692624400,Rc,38.54,3.74,3.49,2.71,1.34,19.59,10.96,-0.0357,0.0133,0.0001,0.0133,0.0111,0.0143,0.0001,0.0143,81.34,1.02,16.7,1.34,0.01,151.75,0.14,1.09,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230209_806353 ~ 806356.fits,2001 CC21,Ast,2023-02-09,15:27,2459985.1441886600,Rc,38.66,0.44,0.0,0.0,1.31,-13.94,51.96,-0.0004,0.0135,0.0001,0.0135,0.0044,0.0131,0.0001,0.0131,47.56,1.08,14.9,1.31,0.01,151.5,0.14,1.09,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230209_806357 ~ 806360.fits,2001 CC21,Ast,2023-02-09,15:36,2459985.150636000,Rc,38.67,3.48,3.3,3.13,1.1,-9.13,9.59,-0.0088,0.0119,0.0001,0.0119,0.0337,0.011,0.0001,0.011,52.35,1.09,14.2,1.1,0.01,151.48,0.14,1.09,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230209_806369 ~ 806372.fits,2001 CC21,Ast,2023-02-09,16:18,2459985.17965437,Rc,38.72,0.19,0.0,0.0,0.75,-6.66,51.96,-0.0006,0.0078,0.0001,0.0078,0.0018,0.0075,0.0001,0.0075,54.72,1.1475,16.1,0.75,0.01,151.38,0.14,1.09,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
Weighted_average,2001 CC21,Ast,2023-02-09,13:39--16:18,2459985.135935370,Rc,38.64,1.33,1.22,1.19,0.53,-6.81,12.35,-0.008,0.0054,0.0001,0.0054,0.0106,0.0052,0.0001,0.0052,63.54,1.0--1.1,,0.53,0.01,151.53,0.14,1.09,120.0,,Ast,,,,
