filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230129_806158 ~ 806161.fits,2001 CC21,Ast,2023-01-29,15:34,2459974.1489098677,V,24.52,1.13,0.92,0.92,0.65,0.78,20.18,-0.0103,0.0065,0.0002,0.0065,-0.0045,0.0065,0.0002,0.0065,-78.19,1.0,7.6,1.5,10.06,9.93,0.65,0.02,191.04,194.0,0.16,1.13,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230129_806162 ~ 806165.fits,2001 CC21,Ast,2023-01-29,15:45,2459974.156368345,V,24.53,0.95,0.71,0.68,0.63,-7.33,25.73,-0.0094,0.0063,0.0002,0.0063,-0.0012,0.0064,0.0002,0.0064,-86.32,1.01,8.2,1.5,10.77,10.89,0.63,0.02,191.0,205.9,0.16,1.13,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230129_806166 ~ 806169.fits,2001 CC21,Ast,2023-01-29,15:55,2459974.1638693577,V,24.54,0.63,0.18,-0.18,0.6,89.3,97.6,0.0059,0.006,0.0002,0.006,0.0022,0.006,0.0002,0.006,10.26,1.01,8.9,1.5,11.74,11.56,0.6,0.02,190.97,206.3,0.16,1.13,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230129_806178 ~ 806181.fits,2001 CC21,Ast,2023-01-29,16:31,2459974.1886066273,V,24.56,0.16,0.0,0.0,0.54,2.07,51.96,-0.0014,0.0053,0.0002,0.0053,-0.0007,0.0055,0.0002,0.0055,-77.07,1.0350000000000001,9.2,1.5,12.08,12.18,0.54,0.02,190.86,261.8,0.16,1.13,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230129_806182 ~ 806185.fits,2001 CC21,Ast,2023-01-29,16:45,2459974.197980469,V,24.57,0.96,0.84,0.7,0.46,-16.57,15.69,-0.0094,0.0046,0.0002,0.0046,0.0019,0.0045,0.0002,0.0045,84.25,1.0474999999999999,8.5,1.5,11.2,11.08,0.46,0.02,190.82,271.6,0.16,1.13,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
Weighted_average,2001 CC21,Ast,2023-01-29,15:34--16:45,2459974.1711469335,V,24.54,0.51,0.45,0.37,0.25,-16.69,16.18,-0.0051,0.0025,0.0002,0.0025,-0.0,0.0025,0.0002,0.0025,-89.84,1.0--1.0,,1.5,,,0.25,0.02,190.94,227.9,0.16,1.13,150.0,,Ast,,,,
