filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230215_806462 ~ 806465.fits,2001 CC21,Ast,2023-02-15,13:05,2459991.045368779,Rc,48.44,1.93,1.77,1.55,0.75,14.49,12.16,-0.0084,0.0071,0.0001,0.0071,0.0173,0.0076,0.0001,0.0076,57.97,1.045,20.3,2.9,13.8,13.84,0.75,0.01,133.48,181.3,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230215_806474 ~ 806477.fits,2001 CC21,Ast,2023-02-15,13:28,2459991.061353299,Rc,48.46,2.54,2.45,2.41,0.66,-5.22,7.77,0.006,0.0065,0.0001,0.0065,0.0247,0.0066,0.0001,0.0066,38.21,1.0575,17.5,2.9,11.71,12.03,0.66,0.01,133.43,193.9,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
Weighted_average,2001 CC21,Ast,2023-02-15,13:05--13:28,2459991.0533610387,Rc,48.45,2.15,2.09,2.06,0.5,-5.24,6.87,-0.0006,0.0048,0.0001,0.0048,0.0215,0.005,0.0001,0.005,45.8,1.0--1.1,,2.9,,,0.5,0.01,133.45,187.6,0.14,1.07,90.0,,Ast,,,,
