filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230215_806492 ~ 806495.fits,2001 CC21,Ast,2023-02-15,13:55,2459991.080209634,V,48.5,3.15,2.95,2.78,1.09,-9.86,10.62,0.0123,0.0107,0.0002,0.0107,0.029,0.011,0.0002,0.011,33.5,1.0725,12.3,1.6,15.3,14.94,1.09,0.02,133.37,127.0,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230215_806496 ~ 806499.fits,2001 CC21,Ast,2023-02-15,14:04,2459991.0863048327,V,48.51,4.52,4.38,3.56,1.14,-17.79,7.43,0.0284,0.0113,0.0002,0.0113,0.0352,0.0114,0.0002,0.0114,25.56,1.08,11.9,1.6,13.99,14.8,1.14,0.02,133.35,112.1,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230215_806500 ~ 806503.fits,2001 CC21,Ast,2023-02-15,14:13,2459991.0924444436,V,48.52,2.28,1.82,1.82,1.37,1.05,21.6,0.0005,0.0139,0.0002,0.0139,0.0228,0.0137,0.0002,0.0137,44.38,1.0875,11.4,1.6,13.92,14.26,1.37,0.02,133.33,90.9,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230215_806504 ~ 806507.fits,2001 CC21,Ast,2023-02-15,14:29,2459991.104089119,V,48.54,2.54,2.34,2.29,0.99,6.0,12.19,-0.0038,0.01,0.0002,0.01,0.0251,0.0099,0.0002,0.0099,49.29,1.1050000000000002,11.5,1.6,14.35,13.66,0.99,0.02,133.29,126.4,0.14,1.07,240.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
Weighted_average,2001 CC21,Ast,2023-02-15,13:55--14:29,2459991.090762007,V,48.52,2.97,2.92,2.85,0.56,5.95,5.54,0.0092,0.0056,0.0002,0.0056,0.0282,0.0056,0.0002,0.0056,35.93,1.1--1.1,,1.6,,,0.56,0.02,133.33,114.1,0.14,1.07,"[120.0, 240.0]",,Ast,,,,
