filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230226_806775 ~ 806778.fits,2001 CC21,Ast,2023-02-26,16:40,2460002.1948991604,Rc,67.73,4.4,4.01,3.94,1.8,-5.25,12.84,0.0432,0.018,0.0001,0.018,0.0081,0.0181,0.0001,0.0181,5.31,1.8075,14.7,1.8,16.1,15.94,1.8,0.01,100.56,71.0,0.13,1.03,180.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230226_806779 ~ 806782.fits,2001 CC21,Ast,2023-02-26,16:53,2460002.2037149873,Rc,67.74,2.79,2.31,2.28,1.57,-4.67,19.51,0.0273,0.0157,0.0001,0.0157,0.0057,0.0149,0.0001,0.0149,5.86,1.865,14.1,1.8,15.7,15.18,1.57,0.01,100.53,79.8,0.13,1.03,180.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
Weighted_average,2001 CC21,Ast,2023-02-26,16:40--16:53,2460002.199307074,Rc,67.74,3.49,3.28,3.24,1.18,-4.69,10.34,0.0342,0.0118,0.0001,0.0118,0.0066,0.0115,0.0001,0.0115,5.5,1.8--1.9,,1.8,,,1.18,0.01,100.54,75.4,0.13,1.03,180.0,,Ast,,,,
