filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230304_806929 ~ 806932.fits,2001 CC21,Ast,2023-03-04,11:56,2460007.9977128175,V,77.78,5.2,4.64,3.45,2.36,-20.93,14.58,0.0321,0.0228,0.0002,0.0228,-0.041,0.0241,0.0002,0.0241,-25.97,1.2025,8.8,2.0,8.39,8.76,2.36,0.02,84.96,75.7,0.13,1.01,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230304_806933 ~ 806936.fits,2001 CC21,Ast,2023-03-04,12:09,2460008.006612558,V,77.8,6.54,4.59,4.55,4.66,3.73,29.09,0.0654,0.0466,0.0002,0.0466,-0.003,0.0441,0.0002,0.0441,-1.33,1.225,11.0,2.0,10.32,10.97,4.66,0.02,84.94,31.9,0.13,1.01,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230304_806937 ~ 806940.fits,2001 CC21,Ast,2023-03-04,12:22,2460008.01546846,V,77.81,5.2,4.43,3.84,2.73,15.03,17.64,0.0489,0.0271,0.0002,0.0271,0.0177,0.0284,0.0002,0.0284,9.95,1.2475,10.7,2.0,9.82,10.69,2.73,0.02,84.92,61.8,0.13,1.01,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230304_806959 ~ 806962.fits,2001 CC21,Ast,2023-03-04,13:10,2460008.048952835,V,77.87,5.86,4.93,4.92,3.17,1.39,18.46,0.0581,0.0317,0.0002,0.0317,-0.0077,0.0313,0.0002,0.0313,-3.78,1.3525000000000003,9.7,2.0,9.12,9.49,3.17,0.02,84.83,41.3,0.13,1.01,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230304_806971 ~ 806974.fits,2001 CC21,Ast,2023-03-04,13:48,2460008.0754722226,V,77.92,10.3,9.78,9.76,3.22,1.83,9.44,0.1022,0.0322,0.0002,0.0322,-0.0122,0.0338,0.0002,0.0338,-3.41,1.4549999999999998,10.4,2.0,9.89,10.09,3.22,0.02,84.76,49.7,0.13,1.01,180.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
Weighted_average,2001 CC21,Ast,2023-03-04,11:56--13:48,2460008.028843778,V,77.84,5.66,5.51,5.5,1.33,1.71,6.9,0.0552,0.0132,0.0002,0.0132,-0.0128,0.0136,0.0002,0.0136,-6.54,1.2--1.5,,2.0,,,1.33,0.02,84.88,52.1,0.13,1.01,180.0,,Ast,,,,
