filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230226_806814 ~ 806817.fits,2001 CC21,Ast,2023-02-26,18:28,2460002.269774595,V,67.86,6.37,6.08,5.36,1.91,14.04,8.98,0.042,0.019,0.0002,0.019,0.0479,0.0191,0.0002,0.0191,24.39,2.3975,13.9,1.75,15.48,15.57,1.9,0.02,100.35,67.6,0.13,1.03,240.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230226_806822 ~ 806825.fits,2001 CC21,Ast,2023-02-26,19:12,2460002.3000186626,V,67.9,7.84,7.49,6.7,2.3,13.3,8.8,0.0533,0.0231,0.0002,0.0231,0.0574,0.023,0.0002,0.023,23.56,2.6775,14.3,1.75,15.67,16.01,2.3,0.02,100.27,54.6,0.13,1.03,240.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230226_806826 ~ 806829.fits,2001 CC21,Ast,2023-02-26,19:28,2460002.3116087974,V,67.93,1.29,0.0,0.0,1.89,-0.84,51.96,0.0122,0.019,0.0002,0.019,0.0042,0.0185,0.0002,0.0185,9.4,2.7824999999999998,14.3,1.75,16.13,15.92,1.89,0.02,100.24,65.1,0.13,1.03,240.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
Weighted_average,2001 CC21,Ast,2023-02-26,18:28--19:28,2460002.293800685,V,67.9,4.75,4.61,4.6,1.16,-0.88,7.19,0.0337,0.0116,0.0002,0.0116,0.0335,0.0115,0.0002,0.0115,22.39,2.4--2.8,,1.75,,,1.16,0.02,100.29,62.4,0.13,1.03,240.0,,Ast,,,,
